10
1;Juxivunocux
2;Hawajezo
3;Konaimonu
4;Zahioz
5;Luoxaceodivo
6;Pizonumiveh
7;Voqu
8;Rudulezeyava
9;Gozaa
10;Makuxaiq
0,00;55,07;49,96;76,30;98,43;0,00;34,30;31,49;83,14;30,97
55,07;0,00;29,79;0,00;0,00;53,33;0,00;0,00;50,65;0,00
49,96;29,79;0,00;103,48;32,23;0,00;30,81;0,00;82,45;94,37
76,30;0,00;103,48;0,00;42,24;89,14;95,75;76,08;0,00;53,58
98,43;0,00;32,23;42,24;0,00;82,64;0,00;79,03;91,30;86,33
0,00;53,33;0,00;89,14;82,64;0,00;58,65;0,00;0,00;57,92
34,30;0,00;30,81;95,75;0,00;58,65;0,00;10,28;41,73;46,86
31,49;0,00;0,00;76,08;79,03;0,00;10,28;0,00;66,62;39,00
83,14;50,65;82,45;0,00;91,30;0,00;41,73;66,62;0,00;90,77
30,97;0,00;94,37;53,58;86,33;57,92;46,86;39,00;90,77;0,00
