10
1;Wilaxee
2;Cezomoos
3;Osiuyom
4;Nigube
5;Yuruyeziy
6;Koxakiw
7;Hueoyib
8;Xeoy
9;Xifafiqol
10;Nato
0,00;16,30;0,00;0,00;89,20;0,00;0,00;0,00;54,82;48,53
16,30;0,00;54,09;64,37;0,00;65,77;0,00;58,46;38,03;44,75
0,00;54,09;0,00;52,46;51,92;0,00;58,65;57,19;36,74;62,09
0,00;64,37;52,46;0,00;22,06;87,31;97,76;61,34;70,98;69,25
89,20;0,00;51,92;22,06;0,00;58,71;88,24;77,70;67,11;38,88
0,00;65,77;0,00;87,31;58,71;0,00;36,14;89,84;0,00;33,65
0,00;0,00;58,65;97,76;88,24;36,14;0,00;63,62;0,00;0,00
0,00;58,46;57,19;61,34;77,70;89,84;63,62;0,00;62,83;91,10
54,82;38,03;36,74;70,98;67,11;0,00;0,00;62,83;0,00;40,40
48,53;44,75;62,09;69,25;38,88;33,65;0,00;91,10;40,40;0,00
